date,season,ranking,acousticness,danceability,duration,energy,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
4/26/2014,0,1,0.282856,0.641703,240.67197,0.702971,5,0.27151,-8.829,0,0.105379,159.803,4,0.966271
4/26/2014,0,2,0.930235,0.415986,269.72254,0.285182,8,0.130341,-5.897,1,0.032347,123.695,4,0.320629
4/26/2014,0,3,0.342399,0.664974,225.0478,0.389369,6,0.688029,-16.517,1,0.26687,131.975,4,0.493227
4/26/2014,0,4,0.079763,0.417834,177.65288,0.803615,11,0.756514,-5.151,0,0.338089,59.401,4,0.738497
4/26/2014,0,5,0.000904,0.628573,348.93288,0.921905,1,0.53085,-3.857,1,0.048859,130.009,4,0.185442
4/26/2014,0,6,0.939019,0.721679,215.09179,0.100491,9,0.089896,-22.641,1,0.127101,129.173,4,0.567324
4/26/2014,0,7,0.117865,0.686962,194.37288,0.572238,6,0.166941,-7.854,1,0.117081,100.015,4,0.4385
4/26/2014,0,8,0.002081,0.789364,178.99057,0.404708,9,0.094998,-19.159,1,0.295675,100.003,4,0.237538
4/26/2014,0,9,0.035277,0.392129,210.87955,0.804161,11,0.274712,-6.147,0,0.090304,172.308,4,0.573817
4/26/2014,0,10,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
4/19/2014,0,1,0.282856,0.641703,240.67197,0.702971,5,0.27151,-8.829,0,0.105379,159.803,4,0.966271
4/19/2014,0,2,0.930235,0.415986,269.72254,0.285182,8,0.130341,-5.897,1,0.032347,123.695,4,0.320629
4/19/2014,0,3,0.342399,0.664974,225.0478,0.389369,6,0.688029,-16.517,1,0.26687,131.975,4,0.493227
4/19/2014,0,4,0.079763,0.417834,177.65288,0.803615,11,0.756514,-5.151,0,0.338089,59.401,4,0.738497
4/19/2014,0,5,0.000904,0.628573,348.93288,0.921905,1,0.53085,-3.857,1,0.048859,130.009,4,0.185442
4/19/2014,0,6,0.939019,0.721679,215.09179,0.100491,9,0.089896,-22.641,1,0.127101,129.173,4,0.567324
4/19/2014,0,7,0.117865,0.686962,194.37288,0.572238,6,0.166941,-7.854,1,0.117081,100.015,4,0.4385
4/19/2014,0,8,0.019061,0.589336,259.58621,0.857334,9,0.446493,-6.017,1,0.078404,128.018,4,0.375928
4/19/2014,0,9,0.035277,0.392129,210.87955,0.804161,11,0.274712,-6.147,0,0.090304,172.308,4,0.573817
4/19/2014,0,10,0.002081,0.789364,178.99057,0.404708,9,0.094998,-19.159,1,0.295675,100.003,4,0.237538
4/12/2014,0,1,0.282856,0.641703,240.67197,0.702971,5,0.27151,-8.829,0,0.105379,159.803,4,0.966271
